Category,Subcategory,Conference,Rank,H5-Index,H5-Median
"Business, Economics & Management",Accounting & Taxation,The Accounting Review,1.,73,111
"Business, Economics & Management",Accounting & Taxation,Contemporary Accounting Research,2.,65,92
"Business, Economics & Management",Accounting & Taxation,"Accounting, Auditing & Accountability Journal",3.,64,100
"Business, Economics & Management",Accounting & Taxation,Journal of Accounting and Economics,4.,55,96
"Business, Economics & Management",Accounting & Taxation,Review of Accounting Studies,5.,53,84
"Business, Economics & Management",Accounting & Taxation,Accounting & Finance,6.,52,82
"Business, Economics & Management",Accounting & Taxation,Journal of Accounting Research,7.,51,86
"Business, Economics & Management",Accounting & Taxation,Meditari Accountancy Research,8.,50,76
"Business, Economics & Management",Accounting & Taxation,Critical Perspectives on Accounting,9.,46,62
"Business, Economics & Management",Accounting & Taxation,"Accounting, Organizations and Society",10.,45,67
"Business, Economics & Management",Accounting & Taxation,The British Accounting Review,11.,44,68
"Business, Economics & Management",Accounting & Taxation,European Accounting Review,12.,42,63
"Business, Economics & Management",Accounting & Taxation,Managerial Auditing Journal,13.,41,67
"Business, Economics & Management",Accounting & Taxation,Journal of Financial Reporting and Accounting,14.,41,58
"Business, Economics & Management",Accounting & Taxation,International Journal of Accounting Information Systems,15.,37,67
"Business, Economics & Management",Accounting & Taxation,International Journal of Accounting & Information Management,16.,37,62
"Business, Economics & Management",Accounting & Taxation,Journal of Applied Accounting Research,17.,36,62
"Business, Economics & Management",Accounting & Taxation,Asian Journal of Accounting Research,18.,36,57
"Business, Economics & Management",Accounting & Taxation,Accounting Education,19.,36,51
"Business, Economics & Management",Accounting & Taxation,Annual Conference on Taxation,20.,35,79
"Business, Economics & Management","Business, Economics & Management (general)","The Journal of Asian Finance, Economics and Business",1.,90,126
"Business, Economics & Management","Business, Economics & Management (general)",Information & Management,2.,85,145
"Business, Economics & Management","Business, Economics & Management (general)",Business Horizons,3.,77,184
"Business, Economics & Management","Business, Economics & Management (general)",Economic Research-Ekonomska Istraživanja,4.,77,117
"Business, Economics & Management","Business, Economics & Management (general)",Benchmarking: An International Journal,5.,77,108
"Business, Economics & Management","Business, Economics & Management (general)",American Economic Journal: Applied Economics,6.,75,113
"Business, Economics & Management","Business, Economics & Management (general)",Cogent Business & Management,7.,73,112
"Business, Economics & Management","Business, Economics & Management (general)",IEEE Transactions on Engineering Management,8.,73,103
"Business, Economics & Management","Business, Economics & Management (general)",Management Information Systems Quarterly,9.,70,129
"Business, Economics & Management","Business, Economics & Management (general)",International Journal of Forecasting,10.,70,111
"Business, Economics & Management","Business, Economics & Management (general)",British Food Journal,11.,68,97
"Business, Economics & Management","Business, Economics & Management (general)",Information Systems Research,12.,67,88
"Business, Economics & Management","Business, Economics & Management (general)",Journal of Enterprise Information Management,13.,63,101
"Business, Economics & Management","Business, Economics & Management (general)",Journal of Public Affairs,14.,62,90
"Business, Economics & Management","Business, Economics & Management (general)",The Service Industries Journal,15.,61,101
"Business, Economics & Management","Business, Economics & Management (general)",Environmental Innovation and Societal Transitions,16.,61,91
"Business, Economics & Management","Business, Economics & Management (general)",Electronic Markets,17.,59,96
"Business, Economics & Management","Business, Economics & Management (general)",European Journal of Information Systems,18.,58,120
"Business, Economics & Management","Business, Economics & Management (general)",Financial Innovation,19.,55,100
"Business, Economics & Management","Business, Economics & Management (general)",American Journal of Agricultural Economics,20.,55,75
"Business, Economics & Management",Development Economics,World Development,1.,115,157
"Business, Economics & Management",Development Economics,Journal of Development Economics,2.,74,113
"Business, Economics & Management",Development Economics,Food Policy,3.,68,95
"Business, Economics & Management",Development Economics,The Journal of Development Studies,4.,55,75
"Business, Economics & Management",Development Economics,The Journal of Peasant Studies,5.,54,85
"Business, Economics & Management",Development Economics,Economies,6.,50,75
"Business, Economics & Management",Development Economics,Third World Quarterly,7.,42,65
"Business, Economics & Management",Development Economics,The World Bank Economic Review,8.,41,68
"Business, Economics & Management",Development Economics,Development and Change,9.,40,62
"Business, Economics & Management",Development Economics,The European Journal of Development Research,10.,36,56
"Business, Economics & Management",Development Economics,Development Southern Africa,11.,33,48
"Business, Economics & Management",Development Economics,African Development Review,12.,32,47
"Business, Economics & Management",Development Economics,Development Policy Review,13.,31,46
"Business, Economics & Management",Development Economics,The Journal of International Trade & Economic Development,14.,31,44
"Business, Economics & Management",Development Economics,Review of Development Economics,15.,31,41
"Business, Economics & Management",Development Economics,Asian Economic and Financial Review,16.,31,39
"Business, Economics & Management",Development Economics,Economic Development and Cultural Change,17.,30,45
"Business, Economics & Management",Development Economics,World Development Perspectives,18.,29,48
"Business, Economics & Management",Development Economics,Journal of African Business,19.,29,40
"Business, Economics & Management",Development Economics,Journal of Economics and Development,20.,28,51
"Business, Economics & Management",Economic History,The Economic History Review,1.,31,48
"Business, Economics & Management",Economic History,The Journal of Economic History,2.,30,55
"Business, Economics & Management",Economic History,Review of Keynesian Economics,3.,24,38
"Business, Economics & Management",Economic History,Explorations in Economic History,4.,24,31
"Business, Economics & Management",Economic History,Business History,5.,22,34
"Business, Economics & Management",Economic History,European Review of Economic History,6.,20,32
"Business, Economics & Management",Economic History,Cliometrica,7.,19,27
"Business, Economics & Management",Economic History,Accounting History,8.,16,20
"Business, Economics & Management",Economic History,The European Journal of the History of Economic Thought,9.,15,22
